GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-wallet,com.bank.mswallet.dto,LinkDebitCardRequest,3,0,0,0,1,0,1,0,1,0
ms-wallet,com.bank.mswallet.dto,WalletRequest,3,0,0,0,1,0,1,0,1,0
ms-wallet,com.bank.mswallet.dto,WalletResponse,3,0,0,0,1,0,1,0,1,0
ms-wallet,com.bank.mswallet.dto,WalletPaymentRequest,3,0,0,0,1,0,1,0,1,0
ms-wallet,com.bank.mswallet.controller,WalletController,140,0,2,0,32,0,12,0,11,0
ms-wallet,com.bank.mswallet.event,WalletEventProducer,46,4,0,0,10,1,2,1,2,1
ms-wallet,com.bank.mswallet,MsWalletApplication,8,0,0,0,3,0,2,0,2,0
ms-wallet,com.bank.mswallet.service,WalletService,83,145,16,14,15,29,17,11,3,10
ms-wallet,com.bank.mswallet.model,Wallet,0,18,0,0,0,7,0,1,0,1
